"GEO_ID","NAME","B06012_001E","B06012_001M","B06012_002E","B06012_002M","B06012_003E","B06012_003M","B06012_004E","B06012_004M","B06012_005E","B06012_005M","B06012_006E","B06012_006M","B06012_007E","B06012_007M","B06012_008E","B06012_008M","B06012_009E","B06012_009M","B06012_010E","B06012_010M","B06012_011E","B06012_011M","B06012_012E","B06012_012M","B06012_013E","B06012_013M","B06012_014E","B06012_014M","B06012_015E","B06012_015M","B06012_016E","B06012_016M","B06012_017E","B06012_017M","B06012_018E","B06012_018M","B06012_019E","B06012_019M","B06012_020E","B06012_020M"
"id","Geographic Area Name","Estimate!!Total","Margin of Error!!Total","Estimate!!Total!!Below 100 percent of the poverty level","Margin of Error!!Total!!Below 100 percent of the poverty level","Estimate!!Total!!100 to 149 percent of the poverty level","Margin of Error!!Total!!100 to 149 percent of the poverty level","Estimate!!Total!!At or above 150 percent of the poverty level","Margin of Error!!Total!!At or above 150 percent of the poverty level","Estimate!!Total!!Born in state of residence","Margin of Error!!Total!!Born in state of residence","Estimate!!Total!!Born in state of residence!!Below 100 percent of the poverty level","Margin of Error!!Total!!Born in state of residence!!Below 100 percent of the poverty level","Estimate!!Total!!Born in state of residence!!100 to 149 percent of the poverty level","Margin of Error!!Total!!Born in state of residence!!100 to 149 percent of the poverty level","Estimate!!Total!!Born in state of residence!!At or above 150 percent of the poverty level","Margin of Error!!Total!!Born in state of residence!!At or above 150 percent of the poverty level","Estimate!!Total!!Born in other state in the United States","Margin of Error!!Total!!Born in other state in the United States","Estimate!!Total!!Born in other state in the United States!!Below 100 percent of the poverty level","Margin of Error!!Total!!Born in other state in the United States!!Below 100 percent of the poverty level","Estimate!!Total!!Born in other state in the United States!!100 to 149 percent of the poverty level","Margin of Error!!Total!!Born in other state in the United States!!100 to 149 percent of the poverty level","Estimate!!Total!!Born in other state in the United States!!At or above 150 percent of the poverty level","Margin of Error!!Total!!Born in other state in the United States!!At or above 150 percent of the poverty level","Estimate!!Total!!Native; born outside the United States","Margin of Error!!Total!!Native; born outside the United States","Estimate!!Total!!Native; born outside the United States!!Below 100 percent of the poverty level","Margin of Error!!Total!!Native; born outside the United States!!Below 100 percent of the poverty level","Estimate!!Total!!Native; born outside the United States!!100 to 149 percent of the poverty level","Margin of Error!!Total!!Native; born outside the United States!!100 to 149 percent of the poverty level","Estimate!!Total!!Native; born outside the United States!!At or above 150 percent of the poverty level","Margin of Error!!Total!!Native; born outside the United States!!At or above 150 percent of the poverty level","Estimate!!Total!!Foreign born","Margin of Error!!Total!!Foreign born","Estimate!!Total!!Foreign born!!Below 100 percent of the poverty level","Margin of Error!!Total!!Foreign born!!Below 100 percent of the poverty level","Estimate!!Total!!Foreign born!!100 to 149 percent of the poverty level","Margin of Error!!Total!!Foreign born!!100 to 149 percent of the poverty level","Estimate!!Total!!Foreign born!!At or above 150 percent of the poverty level","Margin of Error!!Total!!Foreign born!!At or above 150 percent of the poverty level"
"0400000US36","New York","19082682","2040","2978521","20970","1673736","17555","14430425","28713","12125408","14496","1782915","13898","960148","11285","9382345","25665","2176414","10169","286980","4039","146718","2945","1742716","9751","461402","5630","121769","3332","57801","2106","281832","4207","4319458","14431","786857","10721","509069","8460","3023532","12899"
"0400000US37","North Carolina","9496939","1752","1669147","16490","1041009","13801","6786783","22671","5491919","13608","1073813","12340","643402","9961","3774704","18057","3171383","12678","410848","6693","266362","5973","2494173","12588","103035","2798","14147","1083","10943","1021","77945","2307","730602","6532","170339","4531","120302","4470","439961","5592"
"0400000US38","North Dakota","679912","321","80865","2846","51449","2140","547598","3351","457904","2843","49693","1808","33094","1692","375117","3549","197664","2976","25434","1284","15191","997","157039","2807","4696","379","673","208","499","169","3524","369","19648","1116","5065","601","2665","521","11918","965"
"0400000US39","Ohio","11243508","1890","1790564","18245","1021773","12267","8431171","22753","8467179","11278","1376856","14813","777708","9908","6312615","20118","2234956","11249","309199","5261","190947","3442","1734810","10588","84204","2073","17841","1178","8551","718","57812","1822","457169","5164","86668","3171","44567","1986","325934","4266"
"0400000US40","Oklahoma","3704019","895","625508","7528","411527","6196","2666984","8662","2264383","5790","391604","5204","254396","4755","1618383","7072","1195658","5488","182364","3202","120820","2465","892474","5176","34132","1342","4428","508","2845","394","26859","1133","209846","2308","47112","2108","33466","1766","129268","2418"
"0400000US41","Oregon","3823874","1167","638816","9214","392088","8080","2792970","13151","1753232","8076","307573","5749","177961","4437","1267698","9657","1650227","8266","239171","3958","154740","3819","1256316","8525","41222","1521","7158","790","3799","536","30265","1317","379193","5592","84914","3823","55588","2804","238691","3811"
"0400000US42","Pennsylvania","12346333","1649","1667858","18228","1044727","10235","9633748","21594","9143294","11634","1180027","14858","771243","8347","7192024","19371","2247298","11396","295690","5424","165358","3636","1786250","11139","194019","3584","58784","2327","25249","1585","109986","2691","761722","7124","133357","4006","82877","3060","545488","5786"
"0400000US44","Rhode Island","1012806","364","143996","4494","84903","3085","783907","5329","602095","4274","76351","3025","47200","2317","478544","4418","254157","3825","34394","1880","15814","1130","203949","3795","21734","1357","7496","965","3600","622","10638","1003","134820","2634","25755","1692","18289","1431","90776","2562"
"0400000US45","South Carolina","4586819","1357","840141","13738","505207","8155","3241471","12761","2685992","9909","571416","10374","331257","6466","1783319","11075","1631487","9470","215554","4897","138691","4279","1277242","9740","48331","1950","6675","715","4661","756","36995","1594","221009","3379","46496","2652","30598","1837","143915","3718"
"0400000US46","South Dakota","805676","487","114444","3306","74794","2616","616438","3549","523273","3210","75061","2813","48688","1918","399524","3815","254213","3005","33437","1539","21857","1230","198919","2687","4551","462","579","166","381","119","3591","427","23639","1109","5367","742","3868","649","14404","991"
"0400000US47","Tennessee","6290532","1433","1121344","10647","691544","9864","4477644","14927","3841352","10523","741578","9420","444904","7901","2654870","14111","2097696","9218","298854","4825","197918","4331","1600924","8617","51255","2040","7292","835","4584","631","39379","1675","300229","3846","73620","2768","44138","2293","182471","3992"
"0400000US48","Texas","25478976","3344","4500034","33436","2795572","22301","18183370","37275","15343287","23789","2840403","22661","1697391","14992","10805493","30629","5569889","20901","622043","8494","414714","7300","4533132","20210","329330","4875","41824","1838","31075","1700","256431","4392","4236470","16519","995764","12368","652392","9903","2588314","14633"
"0400000US49","Utah","2811097","860","358682","7684","259043","6609","2193372","8534","1750090","6533","198382","5385","156959","4382","1394749","8055","797231","6059","101625","3292","64779","2351","630827","6162","27533","1243","4581","619","2481","404","20471","834","236243","3765","54094","2454","34824","2424","147325","3176"
"0400000US50","Vermont","601671","341","72044","2348","50122","1942","479505","2658","313890","2805","39857","1791","29750","1549","244283","2905","256946","2899","28448","1231","17765","927","210733","2733","5698","428","641","162","319","84","4738","375","25137","805","3098","458","2288","412","19751","890"
"0400000US51","Virginia","7939332","1536","914237","12754","602593","9680","6422502","17193","3938169","11941","550110","8644","362254","7215","3025805","14008","2928069","12078","243476","4726","151047","3880","2533546","12012","137166","2897","10929","973","8096","909","118141","2653","935928","6831","109722","4150","81196","3383","745010","6850"
"0400000US53","Washington","6765200","1658","916364","13006","570635","8738","5278201","16465","3200313","10215","455312","7815","276586","5844","2468415","12546","2539147","10098","282877","4659","182121","3647","2074149","9546","114568","2587","13771","1119","8591","758","92206","2472","911172","8311","164404","5643","103337","3651","643431","7116"
"0400000US54","West Virginia","1799412","883","326225","6334","196784","5073","1276403","8376","1273868","5248","228206","4428","144068","3674","901594","7338","491988","5377","91153","3335","49444","2355","351391","5046","8188","661","1289","268","889","325","6010","604","25368","1155","5577","799","2383","450","17408","1027"
"0400000US55","Wisconsin","5571083","1287","738557","10521","474204","7178","4358322","12693","4001429","7492","499619","8125","329945","5282","3171865","11844","1264647","6890","178050","3766","104147","2737","982450","6081","42054","1478","8995","795","5348","677","27711","1195","262953","3696","51893","2126","34764","2027","176296","3091"
"0400000US56","Wyoming","561187","426","65271","2633","44243","2275","451673","3113","231573","3320","27100","1723","18840","1337","185633","3006","305777","3322","33346","1917","22714","1457","249717","3444","4911","504","391","212","554","200","3966","467","18926","1183","4434","678","2135","511","12357","866"
"0400000US72","Puerto Rico","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null","null"
