"GEO_ID","NAME","B06012_001E","B06012_001M","B06012_002E","B06012_002M","B06012_003E","B06012_003M","B06012_004E","B06012_004M","B06012_005E","B06012_005M","B06012_006E","B06012_006M","B06012_007E","B06012_007M","B06012_008E","B06012_008M","B06012_009E","B06012_009M","B06012_010E","B06012_010M","B06012_011E","B06012_011M","B06012_012E","B06012_012M","B06012_013E","B06012_013M","B06012_014E","B06012_014M","B06012_015E","B06012_015M","B06012_016E","B06012_016M","B06012_017E","B06012_017M","B06012_018E","B06012_018M","B06012_019E","B06012_019M","B06012_020E","B06012_020M"
"id","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!Below 100 percent of the poverty level","Margin of Error!!Total:!!Below 100 percent of the poverty level","Estimate!!Total:!!100 to 149 percent of the poverty level","Margin of Error!!Total:!!100 to 149 percent of the poverty level","Estimate!!Total:!!At or above 150 percent of the poverty level","Margin of Error!!Total:!!At or above 150 percent of the poverty level","Estimate!!Total:!!Born in state of residence:","Margin of Error!!Total:!!Born in state of residence:","Estimate!!Total:!!Born in state of residence:!!Below 100 percent of the poverty level","Margin of Error!!Total:!!Born in state of residence:!!Below 100 percent of the poverty level","Estimate!!Total:!!Born in state of residence:!!100 to 149 percent of the poverty level","Margin of Error!!Total:!!Born in state of residence:!!100 to 149 percent of the poverty level","Estimate!!Total:!!Born in state of residence:!!At or above 150 percent of the poverty level","Margin of Error!!Total:!!Born in state of residence:!!At or above 150 percent of the poverty level","Estimate!!Total:!!Born in other state in the United States:","Margin of Error!!Total:!!Born in other state in the United States:","Estimate!!Total:!!Born in other state in the United States:!!Below 100 percent of the poverty level","Margin of Error!!Total:!!Born in other state in the United States:!!Below 100 percent of the poverty level","Estimate!!Total:!!Born in other state in the United States:!!100 to 149 percent of the poverty level","Margin of Error!!Total:!!Born in other state in the United States:!!100 to 149 percent of the poverty level","Estimate!!Total:!!Born in other state in the United States:!!At or above 150 percent of the poverty level","Margin of Error!!Total:!!Born in other state in the United States:!!At or above 150 percent of the poverty level","Estimate!!Total:!!Native; born outside the United States:","Margin of Error!!Total:!!Native; born outside the United States:","Estimate!!Total:!!Native; born outside the United States:!!Below 100 percent of the poverty level","Margin of Error!!Total:!!Native; born outside the United States:!!Below 100 percent of the poverty level","Estimate!!Total:!!Native; born outside the United States:!!100 to 149 percent of the poverty level","Margin of Error!!Total:!!Native; born outside the United States:!!100 to 149 percent of the poverty level","Estimate!!Total:!!Native; born outside the United States:!!At or above 150 percent of the poverty level","Margin of Error!!Total:!!Native; born outside the United States:!!At or above 150 percent of the poverty level","Estimate!!Total:!!Foreign born:","Margin of Error!!Total:!!Foreign born:","Estimate!!Total:!!Foreign born:!!Below 100 percent of the poverty level","Margin of Error!!Total:!!Foreign born:!!Below 100 percent of the poverty level","Estimate!!Total:!!Foreign born:!!100 to 149 percent of the poverty level","Margin of Error!!Total:!!Foreign born:!!100 to 149 percent of the poverty level","Estimate!!Total:!!Foreign born:!!At or above 150 percent of the poverty level","Margin of Error!!Total:!!Foreign born:!!At or above 150 percent of the poverty level"
"0400000US01","Alabama","4754288","1212","795989","10922","478762","7914","3479537","12569","3314250","7771","586183","8909","355235","6678","2372832","10989","1228699","7868","170061","4694","100031","3020","958607","7760","41887","1816","5599","729","3298","498","32990","1654","169452","3104","34146","2081","20198","1525","115108","2718"
"0400000US02","Alaska","719376","495","76933","3223","51489","2529","590954","3451","300915","2735","44678","2212","26947","1320","229290","3261","344408","3216","25098","1513","19353","1412","299957","3681","17124","1125","1654","396","1193","390","14277","1133","56929","1791","5503","754","3996","697","47430","1722"
"0400000US04","Arizona","6891224","1789","1043764","11600","653484","11922","5193976","14136","2720503","10848","518783","7440","300813","7640","1900907","11604","3145219","11403","328471","5008","229040","4589","2587708","10584","99465","3354","11694","956","7670","722","80101","3035","926037","7944","184816","4910","115961","4475","625260","6502"
"0400000US05","Arkansas","2910954","1107","496260","7621","339607","7847","2075087","9292","1781142","7375","317546","6364","211823","5638","1251773","9166","965666","7718","149702","3808","103680","3258","712284","6890","21400","1254","2917","569","2003","351","16480","1058","142746","2518","26095","1650","22101","1718","94550","2187"
"0400000US06","California","38535926","3397","5149742","38666","3383738","29947","30002446","50978","21345193","24624","2968009","25719","1849671","19087","16527513","44660","6211543","20289","582197","6758","353721","5649","5275625","21006","533873","6333","54799","1851","39462","2089","439612","5616","10445317","36297","1544737","15998","1140884","15053","7759696","24681"
"0400000US08","Colorado","5489133","1191","565873","7890","383811","8898","4539449","12616","2326534","10702","266940","5436","183640","5713","1875954","11755","2536251","9751","215646","4128","136977","3370","2183628","9633","86963","2198","8366","867","5929","736","72668","2012","539385","6832","74921","3239","57265","3032","407199","4998"
"0400000US09","Connecticut","3470087","762","344146","6721","217746","6430","2908195","8629","1902339","6605","181203","4606","118181","4165","1602955","7317","925144","6360","70615","2642","42190","2116","812339","6519","129826","3204","33188","1694","15356","1413","81282","2734","512778","5765","59140","2503","42019","2270","411619","5536"
"0400000US10","Delaware","930764","676","109400","4134","63948","3152","757416","4454","416187","4191","56172","2972","32441","2171","327574","4544","409195","4424","39143","2063","22985","1774","347067","4070","14998","1042","2431","535","1405","370","11162","870","90384","2734","11654","1258","7117","895","71613","2481"
"0400000US11","District of Columbia","659676","399","107140","3812","41449","2841","511087","4082","251168","2858","61420","3182","23843","2208","165905","3809","303026","3543","32526","1778","11766","1061","258734","3197","14057","954","1300","336","524","160","12233","884","91425","2952","11894","1070","5316","771","74215","2695"
