"GEO_ID","NAME","B25064_001E","B25064_001M"
"id","Geographic Area Name","Estimate!!Median gross rent","Margin of Error!!Median gross rent"
"0500000US08001","Adams County, Colorado","1346","15"
"0500000US08003","Alamosa County, Colorado","700","65"
"0500000US08005","Arapahoe County, Colorado","1390","12"
"0500000US08007","Archuleta County, Colorado","961","50"
"0500000US08009","Baca County, Colorado","443","81"
"0500000US08011","Bent County, Colorado","643","44"
"0500000US08013","Boulder County, Colorado","1495","22"
"0500000US08014","Broomfield County, Colorado","1679","26"
"0500000US08015","Chaffee County, Colorado","931","81"
"0500000US08017","Cheyenne County, Colorado","525","180"
"0500000US08019","Clear Creek County, Colorado","938","75"
"0500000US08021","Conejos County, Colorado","543","48"
"0500000US08023","Costilla County, Colorado","532","125"
"0500000US08025","Crowley County, Colorado","914","205"
"0500000US08027","Custer County, Colorado","620","70"
"0500000US08029","Delta County, Colorado","834","33"
"0500000US08031","Denver County, Colorado","1311","13"
"0500000US08033","Dolores County, Colorado","817","84"
"0500000US08035","Douglas County, Colorado","1725","24"
"0500000US08037","Eagle County, Colorado","1594","73"
"0500000US08039","Elbert County, Colorado","1182","136"
"0500000US08041","El Paso County, Colorado","1174","12"
"0500000US08043","Fremont County, Colorado","838","43"
"0500000US08045","Garfield County, Colorado","1201","41"
"0500000US08047","Gilpin County, Colorado","1159","71"
"0500000US08049","Grand County, Colorado","1047","70"
"0500000US08051","Gunnison County, Colorado","992","121"
"0500000US08053","Hinsdale County, Colorado","756","61"
"0500000US08055","Huerfano County, Colorado","626","23"
"0500000US08057","Jackson County, Colorado","625","129"
"0500000US08059","Jefferson County, Colorado","1376","16"
"0500000US08061","Kiowa County, Colorado","750","89"
"0500000US08063","Kit Carson County, Colorado","736","34"
"0500000US08065","Lake County, Colorado","982","283"
"0500000US08067","La Plata County, Colorado","1147","52"
"0500000US08069","Larimer County, Colorado","1297","24"
"0500000US08071","Las Animas County, Colorado","712","39"
"0500000US08073","Lincoln County, Colorado","780","47"
"0500000US08075","Logan County, Colorado","786","62"
"0500000US08077","Mesa County, Colorado","963","31"
"0500000US08079","Mineral County, Colorado","720","86"
"0500000US08081","Moffat County, Colorado","779","46"
"0500000US08083","Montezuma County, Colorado","815","88"
"0500000US08085","Montrose County, Colorado","901","65"
"0500000US08087","Morgan County, Colorado","835","39"
"0500000US08089","Otero County, Colorado","675","72"
"0500000US08091","Ouray County, Colorado","1223","147"
"0500000US08093","Park County, Colorado","1125","120"
"0500000US08095","Phillips County, Colorado","751","119"
"0500000US08097","Pitkin County, Colorado","1473","165"
"0500000US08099","Prowers County, Colorado","697","47"
"0500000US08101","Pueblo County, Colorado","829","16"
"0500000US08103","Rio Blanco County, Colorado","770","75"
"0500000US08105","Rio Grande County, Colorado","634","82"
"0500000US08107","Routt County, Colorado","1282","95"
"0500000US08109","Saguache County, Colorado","631","26"
"0500000US08111","San Juan County, Colorado","1019","98"
"0500000US08113","San Miguel County, Colorado","1140","75"
"0500000US08115","Sedgwick County, Colorado","556","32"
"0500000US08117","Summit County, Colorado","1393","68"
"0500000US08119","Teller County, Colorado","1102","86"
"0500000US08121","Washington County, Colorado","734","36"
"0500000US08123","Weld County, Colorado","1085","27"
"0500000US08125","Yuma County, Colorado","823","56"
