"GEO_ID","NAME","B19013_001E","B19013_001M"
"id","Geographic Area Name","Estimate!!Median household income in the past 12 months (in 2019 inflation-adjusted dollars)","Margin of Error!!Median household income in the past 12 months (in 2019 inflation-adjusted dollars)"
"0500000US08001","Adams County, Colorado","71202","1176"
"0500000US08003","Alamosa County, Colorado","37515","3772"
"0500000US08005","Arapahoe County, Colorado","77469","1006"
"0500000US08007","Archuleta County, Colorado","52221","3699"
"0500000US08009","Baca County, Colorado","35878","4195"
"0500000US08011","Bent County, Colorado","30900","2629"
"0500000US08013","Boulder County, Colorado","83019","1785"
"0500000US08014","Broomfield County, Colorado","96416","2241"
"0500000US08015","Chaffee County, Colorado","55771","2838"
"0500000US08017","Cheyenne County, Colorado","53977","12544"
"0500000US08019","Clear Creek County, Colorado","67060","10195"
"0500000US08021","Conejos County, Colorado","36084","2787"
"0500000US08023","Costilla County, Colorado","30965","4205"
"0500000US08025","Crowley County, Colorado","42135","6436"
"0500000US08027","Custer County, Colorado","53119","7591"
"0500000US08029","Delta County, Colorado","45269","3334"
"0500000US08031","Denver County, Colorado","68592","1281"
"0500000US08033","Dolores County, Colorado","45972","8828"
"0500000US08035","Douglas County, Colorado","119730","1710"
"0500000US08037","Eagle County, Colorado","84790","4430"
"0500000US08039","Elbert County, Colorado","99199","6613"
"0500000US08041","El Paso County, Colorado","68779","941"
"0500000US08043","Fremont County, Colorado","49409","1820"
"0500000US08045","Garfield County, Colorado","75937","3447"
"0500000US08047","Gilpin County, Colorado","76429","11197"
"0500000US08049","Grand County, Colorado","71198","4313"
"0500000US08051","Gunnison County, Colorado","56577","5212"
"0500000US08053","Hinsdale County, Colorado","56339","6265"
"0500000US08055","Huerfano County, Colorado","38137","4005"
"0500000US08057","Jackson County, Colorado","53300","7988"
"0500000US08059","Jefferson County, Colorado","82986","1188"
"0500000US08061","Kiowa County, Colorado","41731","5035"
"0500000US08063","Kit Carson County, Colorado","49349","4034"
"0500000US08065","Lake County, Colorado","50565","5331"
"0500000US08067","La Plata County, Colorado","68685","3081"
"0500000US08069","Larimer County, Colorado","71881","1640"
"0500000US08071","Las Animas County, Colorado","41817","3068"
"0500000US08073","Lincoln County, Colorado","47258","5573"
"0500000US08075","Logan County, Colorado","53318","3595"
"0500000US08077","Mesa County, Colorado","55379","1902"
"0500000US08079","Mineral County, Colorado","62188","10378"
"0500000US08081","Moffat County, Colorado","57229","6703"
"0500000US08083","Montezuma County, Colorado","49470","3430"
"0500000US08085","Montrose County, Colorado","50489","2510"
"0500000US08087","Morgan County, Colorado","53682","2609"
"0500000US08089","Otero County, Colorado","38169","2833"
"0500000US08091","Ouray County, Colorado","66417","9235"
"0500000US08093","Park County, Colorado","73622","5905"
"0500000US08095","Phillips County, Colorado","51155","3191"
"0500000US08097","Pitkin County, Colorado","78935","8840"
"0500000US08099","Prowers County, Colorado","41929","2484"
"0500000US08101","Pueblo County, Colorado","46783","1461"
"0500000US08103","Rio Blanco County, Colorado","54357","6895"
"0500000US08105","Rio Grande County, Colorado","39123","2724"
"0500000US08107","Routt County, Colorado","77443","3722"
"0500000US08109","Saguache County, Colorado","38571","4811"
"0500000US08111","San Juan County, Colorado","54625","8498"
"0500000US08113","San Miguel County, Colorado","67038","6786"
"0500000US08115","Sedgwick County, Colorado","43150","5088"
"0500000US08117","Summit County, Colorado","79277","3671"
"0500000US08119","Teller County, Colorado","66592","3958"
"0500000US08121","Washington County, Colorado","50094","3511"
"0500000US08123","Weld County, Colorado","74150","1069"
"0500000US08125","Yuma County, Colorado","52022","3630"
