"GEO_ID","NAME","B25097_001E","B25097_001M","B25097_002E","B25097_002M","B25097_003E","B25097_003M"
"id","Geographic Area Name","Estimate!!Median value!!Total","Margin of Error!!Median value!!Total","Estimate!!Median value!!Total!!Median value for units with a mortgage","Margin of Error!!Median value!!Total!!Median value for units with a mortgage","Estimate!!Median value!!Total!!Median value for units without a mortgage","Margin of Error!!Median value!!Total!!Median value for units without a mortgage"
"0400000US01","Alabama","123800","663","143100","842","92600","1082"
"0400000US02","Alaska","246300","2093","261400","2123","202900","5228"
"0400000US04","Arizona","162900","579","172300","679","134800","1718"
"0400000US05","Arkansas","108700","694","123800","779","86800","901"
"0400000US06","California","371400","530","380400","690","340300","1553"
"0400000US08","Colorado","239400","665","245500","886","219000","1583"
"0400000US09","Connecticut","274500","980","279000","1370","263400","1814"
"0400000US10","Delaware","232900","1338","238400","1621","216800","3098"
"0400000US11","District of Columbia","454500","6008","460700","6768","429500","15621"
"0400000US12","Florida","156200","410","165200","441","133300","850"
"0400000US13","Georgia","148000","579","157600","559","115800","1021"
"0400000US15","Hawaii","504500","4733","502600","5672","508600","8880"
"0400000US16","Idaho","160500","786","165400","1048","148100","2166"
"0400000US17","Illinois","175700","626","188100","751","155300","748"
"0400000US18","Indiana","122700","396","130000","547","105700","742"
"0400000US19","Iowa","126300","631","136400","807","110800","888"
"0400000US20","Kansas","129400","701","144800","887","99400","1144"
"0400000US21","Kentucky","121600","523","136800","708","93600","848"
"0400000US22","Louisiana","140400","826","159600","806","105900","1191"
"0400000US23","Maine","173600","951","182600","1294","157600","1864"
"0400000US24","Maryland","287500","847","294800","1020","260900","2148"
"0400000US25","Massachusetts","329900","840","333600","1071","320000","1995"
"0400000US26","Michigan","120200","308","131000","459","101300","603"
"0400000US27","Minnesota","185200","429","193400","544","166600","708"
"0400000US28","Mississippi","100800","853","121800","1179","79400","824"
"0400000US29","Missouri","136700","511","147100","655","113200","804"
"0400000US30","Montana","187600","1692","203200","2351","161900","2068"
"0400000US31","Nebraska","130100","661","139300","637","110700","1136"
"0400000US32","Nevada","167100","777","170400","893","155800","1928"
"0400000US33","New Hampshire","237400","1127","242900","1525","223100","2172"
"0400000US34","New Jersey","319900","856","327200","958","301200","1834"
"0400000US35","New Mexico","159300","884","173000","1168","122400","1733"
"0400000US36","New York","283700","884","302200","1091","243900","1637"
"0400000US37","North Carolina","153600","400","165300","485","119400","1013"
"0400000US38","North Dakota","142000","1405","158800","1598","111100","2042"
"0400000US39","Ohio","129600","347","138000","366","113600","511"
"0400000US40","Oklahoma","115000","472","128400","592","92500","862"
"0400000US41","Oregon","234100","971","242200","1174","211500","1909"
"0400000US42","Pennsylvania","164900","306","179100","647","139000","725"
"0400000US44","Rhode Island","241200","1443","242200","1871","238500","2720"
"0400000US45","South Carolina","137600","823","154100","871","102400","1235"
"0400000US46","South Dakota","135700","1347","152000","1294","104100","1990"
"0400000US47","Tennessee","139900","487","148300","561","120700","891"
"0400000US48","Texas","131400","331","148400","421","99400","499"
"0400000US49","Utah","212500","858","215600","1070","203000","1961"
"0400000US50","Vermont","216200","1684","223000","1986","201500","3063"
"0400000US51","Virginia","243500","674","264900","1033","189600","1622"
"0400000US53","Washington","257200","797","265500","906","234400","1949"
"0400000US54","West Virginia","100200","1007","120500","1005","81000","1069"
"0400000US55","Wisconsin","165900","349","171100","480","155300","723"
"0400000US56","Wyoming","189300","1892","198400","2639","171700","3083"
"0400000US72","Puerto Rico","121700","566","142400","870","106100","759"
