"GEO_ID","NAME","B15003_001E","B15003_001M","B15003_002E","B15003_002M","B15003_003E","B15003_003M","B15003_004E","B15003_004M","B15003_005E","B15003_005M","B15003_006E","B15003_006M","B15003_007E","B15003_007M","B15003_008E","B15003_008M","B15003_009E","B15003_009M","B15003_010E","B15003_010M","B15003_011E","B15003_011M","B15003_012E","B15003_012M","B15003_013E","B15003_013M","B15003_014E","B15003_014M","B15003_015E","B15003_015M","B15003_016E","B15003_016M","B15003_017E","B15003_017M","B15003_018E","B15003_018M","B15003_019E","B15003_019M","B15003_020E","B15003_020M","B15003_021E","B15003_021M","B15003_022E","B15003_022M","B15003_023E","B15003_023M","B15003_024E","B15003_024M","B15003_025E","B15003_025M"
"id","Geographic Area Name","Estimate!!Total","Margin of Error!!Total","Estimate!!Total!!No schooling completed","Margin of Error!!Total!!No schooling completed","Estimate!!Total!!Nursery school","Margin of Error!!Total!!Nursery school","Estimate!!Total!!Kindergarten","Margin of Error!!Total!!Kindergarten","Estimate!!Total!!1st grade","Margin of Error!!Total!!1st grade","Estimate!!Total!!2nd grade","Margin of Error!!Total!!2nd grade","Estimate!!Total!!3rd grade","Margin of Error!!Total!!3rd grade","Estimate!!Total!!4th grade","Margin of Error!!Total!!4th grade","Estimate!!Total!!5th grade","Margin of Error!!Total!!5th grade","Estimate!!Total!!6th grade","Margin of Error!!Total!!6th grade","Estimate!!Total!!7th grade","Margin of Error!!Total!!7th grade","Estimate!!Total!!8th grade","Margin of Error!!Total!!8th grade","Estimate!!Total!!9th grade","Margin of Error!!Total!!9th grade","Estimate!!Total!!10th grade","Margin of Error!!Total!!10th grade","Estimate!!Total!!11th grade","Margin of Error!!Total!!11th grade","Estimate!!Total!!12th grade, no diploma","Margin of Error!!Total!!12th grade, no diploma","Estimate!!Total!!Regular high school diploma","Margin of Error!!Total!!Regular high school diploma","Estimate!!Total!!GED or alternative credential","Margin of Error!!Total!!GED or alternative credential","Estimate!!Total!!Some college, less than 1 year","Margin of Error!!Total!!Some college, less than 1 year","Estimate!!Total!!Some college, 1 or more years, no degree","Margin of Error!!Total!!Some college, 1 or more years, no degree","Estimate!!Total!!Associate's degree","Margin of Error!!Total!!Associate's degree","Estimate!!Total!!Bachelor's degree","Margin of Error!!Total!!Bachelor's degree","Estimate!!Total!!Master's degree","Margin of Error!!Total!!Master's degree","Estimate!!Total!!Professional school degree","Margin of Error!!Total!!Professional school degree","Estimate!!Total!!Doctorate degree","Margin of Error!!Total!!Doctorate degree"
"0400000US01","Alabama","3217902","1281","41671","1575","234","89","505","177","1414","331","2507","421","6554","656","5465","523","8906","634","27813","1330","26460","1143","52795","1754","76902","2248","104999","2529","108114","2154","60029","1884","824979","7536","174782","3117","193151","3490","514936","5565","243873","3507","465268","4947","196935","3336","47795","1433","31815","1137"
"0400000US02","Alaska","460319","327","2924","404","95","61","101","65","202","97","388","92","990","235","749","163","939","218","1967","289","1184","223","4100","446","4180","448","6613","570","8166","602","5102","508","103345","2064","23266","994","34015","1223","96871","2134","37684","1282","82261","1529","32681","1400","7370","492","5126","493"
"0400000US04","Arizona","4284776","808","55703","1633","367","154","939","220","4153","510","6874","632","15007","940","10696","940","14755","1047","73881","2283","19059","1106","69029","2094","72231","2099","80441","2153","97798","2632","83459","2329","877163","5923","172916","3114","323182","4076","785304","7062","360743","4461","733845","5512","306410","4774","71569","1781","49252","1574"
"0400000US05","Arkansas","1949963","929","22572","1087","183","79","327","121","978","290","1967","300","5484","581","4700","542","6541","595","18544","1212","14848","889","37882","1125","41898","1515","53604","1517","64321","1860","32350","1136","564546","4960","117905","2663","130764","2512","306494","4272","121464","2018","263299","3973","98442","2352","24187","908","16663","832"
"0400000US06","California","24865866","989","624808","7046","5153","522","8818","589","38918","1314","94421","2759","181886","3264","120876","2439","153551","3311","825461","8888","140475","2878","329010","5013","521707","7319","387985","5222","529818","5490","640099","7746","4597854","26884","555403","5530","1443042","14913","4022722","19015","1934950","10312","4870524","17119","1889640","14049","575093","5928","373652","3785"
"0400000US08","Colorado","3453403","899","30061","1395","205","83","353","132","1566","316","3588","388","8130","817","5245","480","7237","723","37173","2039","10949","753","33262","1473","42085","1562","45304","1501","56891","2081","50197","1508","626538","5353","132797","2531","220604","3463","563149","5930","284385","3239","819675","5858","344986","4230","73307","1806","55716","1556"
"0400000US09","Connecticut","2455577","466","24122","1325","195","78","267","106","886","210","2755","470","5803","648","6490","678","6986","597","19633","1209","10057","766","29590","1504","30880","1400","40234","1499","42411","1420","36702","1348","599157","5534","78730","2058","133381","2516","298426","3718","180321","2702","506662","4333","290414","3842","71488","1571","39987","1428"
"0400000US10","Delaware","620886","212","6795","602","48","37","120","74","268","104","884","249","1350","303","1055","233","1522","312","3988","548","2382","458","6755","531","9334","632","14940","850","15629","983","9197","699","174313","2679","21493","1048","38371","1290","84079","1989","45599","1405","108647","2209","52733","1530","11146","653","10238","639"
"0400000US11","District of Columbia","442721","87","4996","596","39","37","71","75","250","118","694","230","1126","251","1072","275","1270","296","3361","452","2636","353","3653","485","5900","561","7380","663","10244","701","6407","519","70158","1842","12373","701","14788","853","46075","1697","13854","905","103179","2186","79033","1836","37053","1419","17109","967"
