"GEO_ID","NAME","B06012_001E","B06012_001M","B06012_002E","B06012_002M","B06012_003E","B06012_003M","B06012_004E","B06012_004M","B06012_005E","B06012_005M","B06012_006E","B06012_006M","B06012_007E","B06012_007M","B06012_008E","B06012_008M","B06012_009E","B06012_009M","B06012_010E","B06012_010M","B06012_011E","B06012_011M","B06012_012E","B06012_012M","B06012_013E","B06012_013M","B06012_014E","B06012_014M","B06012_015E","B06012_015M","B06012_016E","B06012_016M","B06012_017E","B06012_017M","B06012_018E","B06012_018M","B06012_019E","B06012_019M","B06012_020E","B06012_020M"
"id","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!Below 100 percent of the poverty level","Margin of Error!!Total:!!Below 100 percent of the poverty level","Estimate!!Total:!!100 to 149 percent of the poverty level","Margin of Error!!Total:!!100 to 149 percent of the poverty level","Estimate!!Total:!!At or above 150 percent of the poverty level","Margin of Error!!Total:!!At or above 150 percent of the poverty level","Estimate!!Total:!!Born in state of residence:","Margin of Error!!Total:!!Born in state of residence:","Estimate!!Total:!!Born in state of residence:!!Below 100 percent of the poverty level","Margin of Error!!Total:!!Born in state of residence:!!Below 100 percent of the poverty level","Estimate!!Total:!!Born in state of residence:!!100 to 149 percent of the poverty level","Margin of Error!!Total:!!Born in state of residence:!!100 to 149 percent of the poverty level","Estimate!!Total:!!Born in state of residence:!!At or above 150 percent of the poverty level","Margin of Error!!Total:!!Born in state of residence:!!At or above 150 percent of the poverty level","Estimate!!Total:!!Born in other state in the United States:","Margin of Error!!Total:!!Born in other state in the United States:","Estimate!!Total:!!Born in other state in the United States:!!Below 100 percent of the poverty level","Margin of Error!!Total:!!Born in other state in the United States:!!Below 100 percent of the poverty level","Estimate!!Total:!!Born in other state in the United States:!!100 to 149 percent of the poverty level","Margin of Error!!Total:!!Born in other state in the United States:!!100 to 149 percent of the poverty level","Estimate!!Total:!!Born in other state in the United States:!!At or above 150 percent of the poverty level","Margin of Error!!Total:!!Born in other state in the United States:!!At or above 150 percent of the poverty level","Estimate!!Total:!!Native; born outside the United States:","Margin of Error!!Total:!!Native; born outside the United States:","Estimate!!Total:!!Native; born outside the United States:!!Below 100 percent of the poverty level","Margin of Error!!Total:!!Native; born outside the United States:!!Below 100 percent of the poverty level","Estimate!!Total:!!Native; born outside the United States:!!100 to 149 percent of the poverty level","Margin of Error!!Total:!!Native; born outside the United States:!!100 to 149 percent of the poverty level","Estimate!!Total:!!Native; born outside the United States:!!At or above 150 percent of the poverty level","Margin of Error!!Total:!!Native; born outside the United States:!!At or above 150 percent of the poverty level","Estimate!!Total:!!Foreign born:","Margin of Error!!Total:!!Foreign born:","Estimate!!Total:!!Foreign born:!!Below 100 percent of the poverty level","Margin of Error!!Total:!!Foreign born:!!Below 100 percent of the poverty level","Estimate!!Total:!!Foreign born:!!100 to 149 percent of the poverty level","Margin of Error!!Total:!!Foreign born:!!100 to 149 percent of the poverty level","Estimate!!Total:!!Foreign born:!!At or above 150 percent of the poverty level","Margin of Error!!Total:!!Foreign born:!!At or above 150 percent of the poverty level"
"0500000US08001","Adams County, Colorado","499315","567","54159","3366","41561","2964","403595","4267","259093","3434","28431","2178","23519","1910","207143","3953","156715","2785","12114","1020","7997","929","136604","2685","6699","941","628","260","471","299","5600","864","76808","2480","12986","1583","9574","1171","54248","2057"
"0500000US08003","Alamosa County, Colorado","14993","260","3528","569","2354","692","9111","840","8991","416","1956","399","1515","495","5520","669","4415","381","1047","279","456","133","2912","354","164","97","40","51","0","19","124","73","1423","282","485","162","383","203","555","225"
"0500000US08005","Arapahoe County, Colorado","637457","873","51542","2932","38278","2586","547637","3870","261371","3413","20789","1730","17575","1551","223007","3632","268057","2971","17192","1402","11211","1034","239654","3164","11001","958","770","319","469","156","9762","808","97028","2534","12791","1288","9023","1113","75214","2381"
"0500000US08007","Archuleta County, Colorado","13150","33","1153","257","1221","282","10776","353","3783","391","336","119","435","156","3012","389","8609","380","726","201","691","190","7192","459","96","59","0","19","0","19","96","59","662","164","91","69","95","66","476","147"
"0500000US08009","Baca County, Colorado","3437","83","654","121","455","99","2328","142","1772","124","317","89","231","69","1224","116","1539","109","337","79","169","61","1033","105","12","14","0","12","2","3","10","14","114","39","0","12","53","41","61","27"
"0500000US08011","Bent County, Colorado","3985","240","1177","303","585","179","2223","303","2764","223","757","208","437","141","1570","248","1046","181","346","148","128","52","572","109","24","27","0","17","10","14","14","23","151","74","74","50","10","20","67","49"
"0500000US08013","Boulder County, Colorado","310784","666","36358","1902","16454","1718","257972","2465","96540","2102","12622","1238","5894","796","78024","2117","176187","2031","18797","1253","7307","763","150083","2089","4902","564","720","340","198","101","3984","457","33155","1298","4219","662","3055","722","25881","942"
"0500000US08014","Broomfield County, Colorado","67549","195","3763","717","2037","363","61749","771","26369","794","1356","396","754","210","24259","841","34231","883","2030","484","889","222","31312","938","910","202","52","41","32","27","826","193","6039","529","325","135","362","206","5352","491"
"0500000US08015","Chaffee County, Colorado","18213","272","1776","446","1507","456","14930","618","7480","604","488","145","671","324","6321","618","9671","572","1058","342","709","292","7904","528","475","212","116","121","105","103","254","148","587","186","114","93","22","28","451","197"
