"GEO_ID","NAME","B06012_001E","B06012_001M","B06012_002E","B06012_002M","B06012_003E","B06012_003M","B06012_004E","B06012_004M","B06012_005E","B06012_005M","B06012_006E","B06012_006M","B06012_007E","B06012_007M","B06012_008E","B06012_008M","B06012_009E","B06012_009M","B06012_010E","B06012_010M","B06012_011E","B06012_011M","B06012_012E","B06012_012M","B06012_013E","B06012_013M","B06012_014E","B06012_014M","B06012_015E","B06012_015M","B06012_016E","B06012_016M","B06012_017E","B06012_017M","B06012_018E","B06012_018M","B06012_019E","B06012_019M","B06012_020E","B06012_020M"
"0500000US08017","Cheyenne County, Colorado","1983","181","203","78","155","84","1625","188","1385","160","119","60","97","53","1169","159","404","83","43","24","42","29","319","73","11","10","0","12","0","12","11","10","183","99","41","53","16","28","126","73"
"0500000US08019","Clear Creek County, Colorado","9344","110","725","220","635","225","7984","345","3557","315","324","123","289","133","2944","353","5331","293","392","149","346","139","4593","306","252","119","0","17","0","17","252","119","204","95","9","11","0","17","195","96"
"0500000US08021","Conejos County, Colorado","8089","16","1756","329","1310","212","5023","338","6340","185","1412","302","976","180","3952","338","1544","181","298","90","286","79","960","175","62","36","14","15","14","19","34","31","143","54","32","29","34","20","77","42"
"0500000US08023","Costilla County, Colorado","3745","12","1023","199","810","208","1912","248","2153","176","581","174","525","182","1047","203","1221","144","365","105","137","43","719","133","26","26","19","25","0","12","7","7","345","98","58","38","148","91","139","56"
"0500000US08025","Crowley County, Colorado","4802","176","1339","325","396","149","3067","372","3106","274","849","235","179","97","2078","331","1463","238","442","161","204","83","817","184","120","123","18","24","0","17","102","124","113","59","30","30","13","16","70","53"
"0500000US08027","Custer County, Colorado","4731","48","601","241","210","96","3920","250","1721","292","134","87","81","65","1506","290","2781","302","427","217","125","77","2229","263","80","52","8","14","0","12","72","50","149","108","32","39","4","6","113","104"
"0500000US08029","Delta County, Colorado","29329","222","5379","744","3911","801","20039","1067","15674","677","2828","552","2236","579","10610","860","11945","621","2073","326","1372","371","8500","581","428","186","55","42","150","146","223","103","1282","236","423","170","153","110","706","230"
"0500000US08031","Denver County, Colorado","693555","898","89203","3801","56189","3260","548163","4941","276331","3872","43197","2608","26124","1914","207010","4340","301024","3543","27598","1500","15774","1180","257652","3479","11276","956","1481","526","1107","481","8688","665","104924","2623","16927","1529","13184","1384","74813","2326"
"0500000US08033","Dolores County, Colorado","1857","186","246","169","104","55","1507","218","842","171","75","39","56","46","711","172","951","179","171","137","48","29","732","163","42","39","0","12","0","12","42","39","22","18","0","12","0","12","22","18"
"0500000US08035","Douglas County, Colorado","334706","316","10275","1020","6358","869","318073","1313","124162","2043","4080","713","2610","664","117472","2026","180429","2122","4838","456","3103","431","172488","2062","4496","496","115","60","176","91","4205","484","25619","1022","1242","288","469","198","23908","1053"
"0500000US08037","Eagle County, Colorado","54401","231","4354","878","3663","835","46384","1174","17761","1061","1444","553","1429","415","14888","1083","26220","1111","1926","474","677","236","23617","1203","842","329","144","193","25","33","673","201","9578","706","840","298","1532","473","7206","690"
"0500000US08039","Elbert County, Colorado","25553","76","1230","265","1544","571","22779","571","11708","489","554","162","903","444","10251","586","12952","445","605","200","614","214","11733","456","203","76","27","32","8","8","168","67","690","195","44","35","19","17","627","193"
"0500000US08041","El Paso County, Colorado","680092","815","68548","3079","53609","3230","557935","4614","217981","3304","27727","2008","21265","2002","168989","3393","392035","3865","33346","1932","26208","1612","332481","4215","22082","1237","1786","383","1728","394","18568","1211","47994","1884","5689","751","4408","796","37897","1667"
"0500000US08043","Fremont County, Colorado","36119","933","5226","628","3995","653","26898","1007","16848","876","2633","451","1905","452","12310","916","18330","840","2415","416","1958","323","13957","747","405","140","82","74","60","56","263","109","536","162","96","67","72","55","368","124"
"0500000US08045","Garfield County, Colorado","58115","214","5009","980","4008","870","49098","1195","24767","1025","1851","449","2012","543","20904","1129","24027","957","2092","523","1166","263","20769","915","657","180","104","103","115","112","438","178","8664","538","962","353","715","241","6987","489"
"0500000US08047","Gilpin County, Colorado","5856","142","286","172","319","186","5251","297","1449","323","87","80","72","52","1290","330","4071","355","177","122","158","158","3736","360","60","40","0","17","0","17","60","40","276","148","22","30","89","92","165","110"
"0500000US08049","Grand County, Colorado","15219","46","1440","344","1293","441","12486","458","6085","524","374","193","733","404","4978","553","8115","538","905","278","523","228","6687","447","189","111","11","19","12","18","166","109","830","246","150","82","25","38","655","230"
"0500000US08051","Gunnison County, Colorado","16075","91","2154","488","1582","484","12339","611","6288","565","826","277","633","285","4829","546","8750","540","1216","325","701","297","6833","637","400","184","48","60","124","113","228","148","637","152","64","58","124","96","449","142"
"0500000US08053","Hinsdale County, Colorado","857","111","84","47","55","50","718","113","203","60","18","16","3","5","182","57","639","91","66","39","52","49","521","91","3","4","0","12","0","12","3","4","12","10","0","12","0","12","12","10"
"0500000US08055","Huerfano County, Colorado","6510","130","1030","265","572","213","4908","366","3613","232","599","210","462","202","2552","350","2734","230","416","161","88","55","2230","238","12","14","0","17","0","17","12","14","151","104","15","16","22","38","114","96"
"0500000US08057","Jackson County, Colorado","1255","128","121","75","104","62","1030","145","552","109","87","68","38","30","427","91","631","123","34","23","51","42","546","120","0","12","0","12","0","12","0","12","72","61","0","12","15","22","57","59"
"0500000US08059","Jefferson County, Colorado","565382","730","40118","1879","26939","1922","498325","2470","260339","2604","20405","1549","12559","1153","227375","2716","261863","2529","15135","985","11181","871","235547","2299","6690","580","399","167","190","95","6101","582","36490","1655","4179","578","3009","681","29302","1493"
"0500000US08061","Kiowa County, Colorado","1460","127","177","65","240","96","1043","136","904","120","126","53","188","83","590","105","542","111","51","37","47","23","444","112","5","7","0","12","0","12","5","7","9","8","0","12","5","5","4","6"
"0500000US08063","Kit Carson County, Colorado","6951","420","421","127","1077","289","5453","448","4217","297","230","63","567","183","3420","322","2227","328","163","81","391","152","1673","255","16","13","2","3","2","3","12","12","491","107","26","31","117","97","348","109"
"0500000US08065","Lake County, Colorado","7627","57","1110","284","942","361","5575","391","2898","453","443","240","329","167","2126","430","3853","400","486","221","509","265","2858","418","166","136","14","22","16","28","136","131","710","203","167","143","88","98","455","190"
"0500000US08067","La Plata County, Colorado","53782","283","4919","537","3821","573","45042","796","19893","766","1813","361","1866","457","16214","897","31827","875","2884","349","1829","310","27114","786","629","184","133","82","21","20","475","159","1433","295","89","64","105","86","1239","289"
"0500000US08069","Larimer County, Colorado","335018","648","38822","2084","20749","1484","275447","2353","133286","2548","16635","1503","9081","1006","107570","2603","179026","2668","18835","1689","9821","970","150370","2160","3953","502","642","207","169","83","3142","415","18753","1160","2710","461","1678","334","14365","1060"
"0500000US08071","Las Animas County, Colorado","13368","338","2474","309","1488","273","9406","438","7318","401","1465","232","807","165","5046","363","5207","397","909","185","553","141","3745","347","161","61","9","10","47","51","105","36","682","225","91","50","81","78","510","207"
"0500000US08073","Lincoln County, Colorado","3488","831","515","175","256","95","2717","673","2236","477","264","91","131","53","1841","415","1108","376","210","107","82","43","816","281","16","22","9","10","0","17","7","20","128","69","32","34","43","57","53","39"
"0500000US08075","Logan County, Colorado","21500","215","2701","566","2894","730","15905","791","12797","546","1429","339","1933","519","9435","618","7508","507","1209","316","715","369","5584","510","206","197","5","9","17","27","184","196","989","277","58","47","229","181","702","235"
"0500000US08077","Mesa County, Colorado","147871","394","21032","1591","13469","1644","113370","2019","72046","1736","11323","1216","6915","1106","53808","1910","68379","1544","8284","950","5599","808","54496","1673","1265","305","117","91","99","63","1049","307","6181","804","1308","410","856","347","4017","566"
"0500000US08079","Mineral County, Colorado","824","112","113","57","41","25","670","97","285","69","52","30","5","8","228","65","528","75","61","35","36","25","431","67","0","12","0","12","0","12","0","12","11","13","0","12","0","12","11","13"
"0500000US08081","Moffat County, Colorado","13003","86","2206","448","830","301","9967","536","6794","364","1069","309","414","200","5311","503","5277","369","948","249","366","160","3963","383","25","27","0","19","0","19","25","27","907","194","189","93","50","55","668","186"
"0500000US08083","Montezuma County, Colorado","25795","91","3902","525","2993","500","18900","713","11082","624","2203","335","1366","310","7513","636","13795","641","1570","372","1543","346","10682","651","173","84","39","44","0","22","134","69","745","209","90","77","84","73","571","195"
"0500000US08085","Montrose County, Colorado","41191","182","6226","882","3456","664","31509","1097","19898","911","2894","536","1811","466","15193","1013","17850","779","2472","420","1192","325","14186","713","320","112","60","64","51","44","209","83","3123","391","800","316","402","153","1921","332"
"0500000US08087","Morgan County, Colorado","28063","159","3078","572","3374","750","21611","900","15407","719","1887","499","1612","378","11908","776","7944","600","845","244","950","348","6149","606","298","149","0","22","0","22","298","149","4414","661","346","157","812","395","3256","752"
"0500000US08089","Otero County, Colorado","17857","123","4226","502","2614","573","11017","615","11712","493","2868","429","1620","411","7224","588","5139","428","1103","230","695","167","3341","406","120","74","14","23","33","43","73","52","886","275","241","104","266","231","379","150"
"0500000US08091","Ouray County, Colorado","4789","8","344","94","276","108","4169","129","1304","246","60","31","58","60","1186","247","3358","246","281","83","218","84","2859","230","46","32","0","12","0","12","46","32","81","38","3","6","0","12","78","37"
"0500000US08093","Park County, Colorado","17684","123","1293","483","1209","541","15182","640","6024","625","196","130","200","185","5628","644","11159","615","1062","440","1009","400","9088","568","83","72","0","19","0","19","83","72","418","204","35","31","0","19","383","202"
"0500000US08095","Phillips County, Colorado","4210","76","256","90","641","254","3313","249","2438","192","131","59","328","145","1979","207","1164","172","120","52","121","61","923","150","5","7","0","12","0","12","5","7","603","167","5","7","192","131","406","161"
"0500000US08097","Pitkin County, Colorado","17846","56","1200","378","654","275","15992","501","4509","501","228","214","82","60","4199","491","10531","701","565","256","365","201","9601","725","227","147","17","29","0","19","210","140","2579","621","390","289","207","154","1982","573"
"0500000US08099","Prowers County, Colorado","11681","105","1866","338","1299","397","8516","478","7171","351","1077","238","757","303","5337","430","3232","274","585","154","338","111","2309","249","90","55","16","26","29","35","45","30","1188","220","188","104","175","102","825","210"
"0500000US08101","Pueblo County, Colorado","161900","394","30591","1787","16132","1429","115177","1965","105711","1616","20646","1413","10436","1184","74629","1772","49720","1514","8726","896","5062","626","35932","1380","1657","335","199","122","152","70","1306","317","4812","566","1020","285","482","177","3310","454"
"0500000US08103","Rio Blanco County, Colorado","6026","112","637","185","590","197","4799","287","3291","229","335","123","329","162","2627","255","2514","214","286","92","248","96","1980","229","46","31","16","20","0","17","30","25","175","99","0","17","13","18","162","101"
"0500000US08105","Rio Grande County, Colorado","11137","75","1894","494","1305","298","7938","561","6802","441","1325","394","591","190","4886","466","3728","425","453","165","703","278","2572","330","149","79","6","10","3","6","140","77","458","173","110","106","8","11","340","146"
"0500000US08107","Routt County, Colorado","24781","141","2705","524","1194","350","20882","634","8721","520","783","276","551","215","7387","562","14408","549","1669","382","438","141","12301","604","403","137","25","28","30","44","348","128","1249","218","228","138","175","116","846","190"
"0500000US08109","Saguache County, Colorado","6564","29","1152","278","1019","299","4393","319","2996","215","500","174","411","159","2085","295","2870","190","495","122","403","150","1972","200","37","38","0","17","7","11","30","37","661","157","157","92","198","86","306","98"
"0500000US08111","San Juan County, Colorado","589","102","31","18","76","50","482","97","179","58","12","12","38","29","129","55","383","81","19","14","32","22","332","77","10","11","0","12","0","12","10","11","17","19","0","12","6","9","11","18"
"0500000US08113","San Miguel County, Colorado","8024","27","909","166","527","160","6588","230","2042","239","165","75","216","101","1661","205","5036","259","492","110","242","73","4302","296","94","47","0","17","0","17","94","47","852","163","252","118","69","51","531","121"
"0500000US08115","Sedgwick County, Colorado","2284","51","434","117","251","96","1599","133","1334","98","262","86","106","39","966","121","873","93","161","51","145","71","567","80","9","9","1","2","0","12","8","9","68","41","10","9","0","12","58","39"
"0500000US08117","Summit County, Colorado","30524","64","2437","652","1799","554","26288","787","8600","845","646","309","219","157","7735","866","18099","760","1294","385","933","299","15872","801","328","125","40","48","4","6","284","124","3497","681","457","244","643","422","2397","675"
"0500000US08119","Teller County, Colorado","24289","168","1984","526","1454","389","20851","627","6540","578","488","242","364","241","5688","572","16292","590","1401","370","949","220","13942","684","656","187","76","70","72","51","508","177","801","203","19","23","69","59","713","201"
"0500000US08121","Washington County, Colorado","4547","133","535","137","458","116","3554","188","3001","164","376","119","255","85","2370","147","1379","137","129","43","189","82","1061","113","33","22","9","12","5","11","19","15","134","53","21","18","9","11","104","44"
"0500000US08123","Weld County, Colorado","298294","598","29866","1726","23462","1898","244966","2325","158009","2612","17188","1354","13153","1426","127668","2585","110775","2102","8795","712","6717","618","95263","2004","3093","496","276","139","167","89","2650","453","26417","1446","3607","680","3425","669","19385","1223"
"0500000US08125","Yuma County, Colorado","9708","169","1357","336","1008","295","7343","418","6061","469","565","164","683","258","4813","430","2590","338","456","168","166","121","1968","321","25","30","4","7","9","21","12","17","1032","204","332","165","150","113","550","153"
