"GEO_ID","NAME","B25064_001E","B25064_001M"
"id","Geographic Area Name","Estimate!!Median gross rent","Margin of Error!!Median gross rent"
"0500000US08001","Adams County, Colorado","1003","14"
"0500000US08003","Alamosa County, Colorado","622","51"
"0500000US08005","Arapahoe County, Colorado","1029","13"
"0500000US08007","Archuleta County, Colorado","914","80"
"0500000US08009","Baca County, Colorado","526","44"
"0500000US08011","Bent County, Colorado","706","93"
"0500000US08013","Boulder County, Colorado","1149","16"
"0500000US08014","Broomfield County, Colorado","1248","51"
"0500000US08015","Chaffee County, Colorado","817","86"
"0500000US08017","Cheyenne County, Colorado","600","142"
"0500000US08019","Clear Creek County, Colorado","795","45"
"0500000US08021","Conejos County, Colorado","538","55"
"0500000US08023","Costilla County, Colorado","614","71"
"0500000US08025","Crowley County, Colorado","600","61"
"0500000US08027","Custer County, Colorado","692","101"
"0500000US08029","Delta County, Colorado","810","35"
"0500000US08031","Denver County, Colorado","913","12"
"0500000US08033","Dolores County, Colorado","643","248"
"0500000US08035","Douglas County, Colorado","1353","31"
"0500000US08037","Eagle County, Colorado","1231","66"
"0500000US08039","Elbert County, Colorado","1109","172"
"0500000US08041","El Paso County, Colorado","941","12"
"0500000US08043","Fremont County, Colorado","697","38"
"0500000US08045","Garfield County, Colorado","1111","61"
"0500000US08047","Gilpin County, Colorado","1043","85"
"0500000US08049","Grand County, Colorado","982","121"
"0500000US08051","Gunnison County, Colorado","882","51"
"0500000US08053","Hinsdale County, Colorado","722","132"
"0500000US08055","Huerfano County, Colorado","682","72"
"0500000US08057","Jackson County, Colorado","708","61"
"0500000US08059","Jefferson County, Colorado","1008","15"
"0500000US08061","Kiowa County, Colorado","683","72"
"0500000US08063","Kit Carson County, Colorado","644","80"
"0500000US08065","Lake County, Colorado","917","95"
"0500000US08067","La Plata County, Colorado","1026","64"
"0500000US08069","Larimer County, Colorado","1001","15"
"0500000US08071","Las Animas County, Colorado","761","30"
"0500000US08073","Lincoln County, Colorado","677","57"
"0500000US08075","Logan County, Colorado","634","38"
"0500000US08077","Mesa County, Colorado","841","27"
"0500000US08079","Mineral County, Colorado","663","78"
"0500000US08081","Moffat County, Colorado","739","30"
"0500000US08083","Montezuma County, Colorado","713","102"
"0500000US08085","Montrose County, Colorado","829","45"
"0500000US08087","Morgan County, Colorado","736","52"
"0500000US08089","Otero County, Colorado","646","46"
"0500000US08091","Ouray County, Colorado","1053","151"
"0500000US08093","Park County, Colorado","1087","175"
"0500000US08095","Phillips County, Colorado","615","43"
"0500000US08097","Pitkin County, Colorado","1242","163"
"0500000US08099","Prowers County, Colorado","548","51"
"0500000US08101","Pueblo County, Colorado","761","19"
"0500000US08103","Rio Blanco County, Colorado","736","81"
"0500000US08105","Rio Grande County, Colorado","569","78"
"0500000US08107","Routt County, Colorado","1150","52"
"0500000US08109","Saguache County, Colorado","639","82"
"0500000US08111","San Juan County, Colorado","833","216"
"0500000US08113","San Miguel County, Colorado","1113","71"
"0500000US08115","Sedgwick County, Colorado","559","61"
"0500000US08117","Summit County, Colorado","1143","86"
"0500000US08119","Teller County, Colorado","961","127"
"0500000US08121","Washington County, Colorado","580","38"
"0500000US08123","Weld County, Colorado","868","23"
"0500000US08125","Yuma County, Colorado","626","46"
