"GEO_ID","NAME","B25097_001E","B25097_001M","B25097_002E","B25097_002M","B25097_003E","B25097_003M"
"id","Geographic Area Name","Estimate!!Median value --!!Total:","Margin of Error!!Median value --!!Total:","Estimate!!Median value --!!Total:!!Median value for units with a mortgage","Margin of Error!!Median value --!!Total:!!Median value for units with a mortgage","Estimate!!Median value --!!Total:!!Median value for units without a mortgage","Margin of Error!!Median value --!!Total:!!Median value for units without a mortgage"
"0500000US08001","Adams County, Colorado","307600","2476","319000","2659","265200","7899"
"0500000US08003","Alamosa County, Colorado","157500","9163","164500","10772","124600","35730"
"0500000US08005","Arapahoe County, Colorado","358200","2430","358100","2436","358400","5250"
"0500000US08007","Archuleta County, Colorado","314400","18654","316100","21168","311400","35246"
"0500000US08009","Baca County, Colorado","83500","5429","115000","19935","74900","14522"
"0500000US08011","Bent County, Colorado","81000","5492","89500","7599","69200","11682"
"0500000US08013","Boulder County, Colorado","497300","6119","497700","7476","496000","14573"
"0500000US08014","Broomfield County, Colorado","413500","9649","423900","10354","387500","14015"
"0500000US08015","Chaffee County, Colorado","357800","13635","354400","17446","362800","19616"
"0500000US08017","Cheyenne County, Colorado","108000","22377","138000","27800","94000","31841"
"0500000US08019","Clear Creek County, Colorado","378300","24176","380000","21963","372000","93774"
"0500000US08021","Conejos County, Colorado","120500","7200","128300","9104","110400","13124"
"0500000US08023","Costilla County, Colorado","113000","10467","152000","28769","106200","9560"
"0500000US08025","Crowley County, Colorado","79400","10259","84500","11387","71700","11653"
"0500000US08027","Custer County, Colorado","281900","54447","317100","53175","242000","53811"
"0500000US08029","Delta County, Colorado","241500","17736","223900","20888","258800","18999"
"0500000US08031","Denver County, Colorado","390600","3946","393200","4753","382800","8442"
"0500000US08033","Dolores County, Colorado","116600","26835","152100","35135","94100","30485"
"0500000US08035","Douglas County, Colorado","468700","2769","467500","3387","474600","7708"
"0500000US08037","Eagle County, Colorado","562300","29902","569700","32992","525800","91295"
"0500000US08039","Elbert County, Colorado","463600","14403","463800","14397","462500","52391"
"0500000US08041","El Paso County, Colorado","275000","2049","278500","2569","263200","4667"
"0500000US08043","Fremont County, Colorado","174000","5810","183800","8491","150500","12326"
"0500000US08045","Garfield County, Colorado","360600","11483","369300","12366","333500","29849"
"0500000US08047","Gilpin County, Colorado","353400","19214","364100","21937","318400","54911"
"0500000US08049","Grand County, Colorado","308200","35104","295000","29600","336500","60264"
"0500000US08051","Gunnison County, Colorado","367300","21901","351400","23711","399400","47071"
"0500000US08053","Hinsdale County, Colorado","350000","29826","343600","29103","358600","60065"
"0500000US08055","Huerfano County, Colorado","161600","15028","175300","49247","156900","18291"
"0500000US08057","Jackson County, Colorado","196700","40858","200000","66502","195600","43771"
"0500000US08059","Jefferson County, Colorado","397700","2319","399700","2998","392600","4584"
"0500000US08061","Kiowa County, Colorado","86500","15729","86800","15695","86000","33428"
"0500000US08063","Kit Carson County, Colorado","122400","23023","131900","38089","114600","35534"
"0500000US08065","Lake County, Colorado","232100","22715","252100","30794","188800","25177"
"0500000US08067","La Plata County, Colorado","395600","10953","400900","14288","379600","27634"
"0500000US08069","Larimer County, Colorado","363800","3285","368800","3909","350700","6594"
"0500000US08071","Las Animas County, Colorado","151100","9520","169600","13921","130700","13161"
"0500000US08073","Lincoln County, Colorado","147100","21864","174300","27091","116100","24120"
"0500000US08075","Logan County, Colorado","157900","9503","163300","12006","150600","13753"
"0500000US08077","Mesa County, Colorado","227000","4298","226100","4791","229300","9676"
"0500000US08079","Mineral County, Colorado","308600","29343","358300","39658","253900","44644"
"0500000US08081","Moffat County, Colorado","182300","10982","194000","14034","164100","17787"
"0500000US08083","Montezuma County, Colorado","222800","14449","243400","21755","201700","17462"
"0500000US08085","Montrose County, Colorado","224400","6894","233600","10661","210000","12776"
"0500000US08087","Morgan County, Colorado","201200","10911","213500","9627","170900","15160"
"0500000US08089","Otero County, Colorado","94900","4724","97200","7280","90300","8389"
"0500000US08091","Ouray County, Colorado","449000","29667","403900","43364","495200","49091"
"0500000US08093","Park County, Colorado","327200","12216","334100","16883","312600","26285"
"0500000US08095","Phillips County, Colorado","158500","16424","175500","24190","117600","40927"
"0500000US08097","Pitkin County, Colorado","615900","131466","490000","144390","803800","574015"
"0500000US08099","Prowers County, Colorado","106100","10103","123900","13314","82400","5859"
"0500000US08101","Pueblo County, Colorado","164600","2443","170900","3497","152000","5006"
"0500000US08103","Rio Blanco County, Colorado","197100","23561","202000","24241","189500","38056"
"0500000US08105","Rio Grande County, Colorado","172000","31962","175200","37223","166600","44161"
"0500000US08107","Routt County, Colorado","535300","35928","508500","46548","582200","64103"
"0500000US08109","Saguache County, Colorado","152700","12996","154000","11139","148100","38349"
"0500000US08111","San Juan County, Colorado","322400","59637","300000","103718","330400","72239"
"0500000US08113","San Miguel County, Colorado","479300","32712","474900","31192","505100","131491"
"0500000US08115","Sedgwick County, Colorado","97100","11188","107900","12870","85300","13057"
"0500000US08117","Summit County, Colorado","579600","30546","564600","37918","626800","70308"
"0500000US08119","Teller County, Colorado","292700","16432","296100","19042","285500","25229"
"0500000US08121","Washington County, Colorado","151300","11500","169200","20454","135400","24958"
"0500000US08123","Weld County, Colorado","299000","3597","309300","4101","268300","8683"
"0500000US08125","Yuma County, Colorado","191800","24731","191300","24514","192700","44451"
