"GEO_ID","NAME","B15003_001E","B15003_001M","B15003_002E","B15003_002M","B15003_003E","B15003_003M","B15003_004E","B15003_004M","B15003_005E","B15003_005M","B15003_006E","B15003_006M","B15003_007E","B15003_007M","B15003_008E","B15003_008M","B15003_009E","B15003_009M","B15003_010E","B15003_010M","B15003_011E","B15003_011M","B15003_012E","B15003_012M","B15003_013E","B15003_013M","B15003_014E","B15003_014M","B15003_015E","B15003_015M","B15003_016E","B15003_016M","B15003_017E","B15003_017M","B15003_018E","B15003_018M","B15003_019E","B15003_019M","B15003_020E","B15003_020M","B15003_021E","B15003_021M","B15003_022E","B15003_022M","B15003_023E","B15003_023M","B15003_024E","B15003_024M","B15003_025E","B15003_025M"
"id","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!No schooling completed","Margin of Error!!Total:!!No schooling completed","Estimate!!Total:!!Nursery school","Margin of Error!!Total:!!Nursery school","Estimate!!Total:!!Kindergarten","Margin of Error!!Total:!!Kindergarten","Estimate!!Total:!!1st grade","Margin of Error!!Total:!!1st grade","Estimate!!Total:!!2nd grade","Margin of Error!!Total:!!2nd grade","Estimate!!Total:!!3rd grade","Margin of Error!!Total:!!3rd grade","Estimate!!Total:!!4th grade","Margin of Error!!Total:!!4th grade","Estimate!!Total:!!5th grade","Margin of Error!!Total:!!5th grade","Estimate!!Total:!!6th grade","Margin of Error!!Total:!!6th grade","Estimate!!Total:!!7th grade","Margin of Error!!Total:!!7th grade","Estimate!!Total:!!8th grade","Margin of Error!!Total:!!8th grade","Estimate!!Total:!!9th grade","Margin of Error!!Total:!!9th grade","Estimate!!Total:!!10th grade","Margin of Error!!Total:!!10th grade","Estimate!!Total:!!11th grade","Margin of Error!!Total:!!11th grade","Estimate!!Total:!!12th grade, no diploma","Margin of Error!!Total:!!12th grade, no diploma","Estimate!!Total:!!Regular high school diploma","Margin of Error!!Total:!!Regular high school diploma","Estimate!!Total:!!GED or alternative credential","Margin of Error!!Total:!!GED or alternative credential","Estimate!!Total:!!Some college, less than 1 year","Margin of Error!!Total:!!Some college, less than 1 year","Estimate!!Total:!!Some college, 1 or more years, no degree","Margin of Error!!Total:!!Some college, 1 or more years, no degree","Estimate!!Total:!!Associate's degree","Margin of Error!!Total:!!Associate's degree","Estimate!!Total:!!Bachelor's degree","Margin of Error!!Total:!!Bachelor's degree","Estimate!!Total:!!Master's degree","Margin of Error!!Total:!!Master's degree","Estimate!!Total:!!Professional school degree","Margin of Error!!Total:!!Professional school degree","Estimate!!Total:!!Doctorate degree","Margin of Error!!Total:!!Doctorate degree"
"0500000US08001","Adams County, Colorado","324255","103","6864","737","10","16","124","78","253","138","491","174","921","271","648","301","1656","451","6963","709","1296","254","4409","514","6628","670","6250","677","8243","802","7834","647","75974","2124","16805","1058","23422","1016","48016","1714","28758","1041","53503","1528","20487","1069","2514","372","2186","305"
"0500000US08003","Alamosa County, Colorado","9619","99","194","85","0","19","6","11","17","24","4","5","63","48","39","35","139","107","210","131","55","47","39","30","220","88","76","54","127","75","75","41","2156","236","586","170","863","197","1556","243","785","198","1402","204","682","162","143","76","182","67"
"0500000US08005","Arapahoe County, Colorado","437887","71","5169","782","73","52","72","43","152","125","256","120","699","233","506","177","652","213","3330","484","1013","269","1916","332","3877","525","4008","459","4480","611","6136","581","77137","1900","14118","699","24880","969","64551","1843","37657","1390","118898","2051","50900","1330","11022","661","6385","487"
"0500000US08007","Archuleta County, Colorado","10137","92","21","32","0","19","0","19","0","19","0","19","0","19","0","19","1","3","123","75","17","24","68","47","108","55","122","100","99","50","218","103","1792","284","339","102","592","140","2098","278","772","179","2612","255","871","156","202","84","82","46"
"0500000US08009","Baca County, Colorado","2608","23","22","16","0","12","0","12","12","19","0","12","12","16","0","12","1","3","39","26","13","18","48","29","61","37","54","26","71","34","26","15","641","73","89","40","220","54","436","72","305","56","404","64","104","36","18","14","32","24"
"0500000US08011","Bent County, Colorado","4534","118","38","27","0","17","3","6","0","17","0","17","11","15","9","16","18","21","31","29","21","16","62","47","169","95","112","59","174","71","43","30","1182","167","1028","184","318","93","510","103","288","72","379","89","131","43","2","3","5","14"
"0500000US08013","Boulder County, Colorado","212755","194","1392","291","11","17","7","10","35","39","144","117","109","75","224","131","362","159","1075","278","304","185","682","175","1278","281","1282","275","1329","296","2362","408","20549","903","4367","446","9313","666","22814","1041","13045","626","72262","1458","40006","1145","8765","598","11038","574"
"0500000US08014","Broomfield County, Colorado","46992","82","137","70","0","28","6","9","0","28","5","12","7","18","8","12","14","17","159","110","40","52","112","58","234","156","140","70","159","82","418","139","5814","588","979","199","2036","264","6259","515","4267","443","16206","561","7648","537","1270","241","1074","251"
"0500000US08015","Chaffee County, Colorado","15523","147","100","79","24","54","0","19","0","19","10","15","6","12","20","32","0","19","20","28","35","59","124","76","103","71","189","104","146","65","227","134","2991","371","1202","225","1311","336","2453","303","1318","311","3035","404","1526","320","489","162","194","92"
